participant_id,executionOrder,originalTrialNumber,loaderType,simulatedLoadingTime,simulatedLoadingTime_sec,rageClicks,mouseDistance,taskDuration,taskDuration_sec,totalLoadingTime,pureTaskDuration,perceivedLoadingTime,discomfort,reliability,perceivedLoadingTime_z,discomfort_z,reliability_z,rageClicks_z,mouseDistance_z,taskDuration_sec_z
participant_10,11.0,2.0,bar,5000,5.0,0,7334.527813684201,27414.5,27.4145,15000.0,12414.5,94.0,5.0,1.0,1.3491605488836922,1.68723017982771,-2.1206266149647988,0.0,0.9662419615667677,1.6348079347373004
participant_10,12.0,3.0,none,1000,1.0,0,5533.951197576796,22555.699999809265,22.555699999809264,3000.0,19555.699999809265,46.0,3.0,2.0,-0.7691476026346284,-0.22800407835509598,-1.034452007299902,0.0,-0.06709601238926134,0.7816500298653563
participant_10,13.0,12.0,skeleton,5000,5.0,0,7533.5464663622915,30047.09999990464,30.047099999904635,15000.0,15047.099999904633,90.0,4.0,2.0,1.172634869590499,0.729613050736307,-1.034452007299902,0.0,1.0804573354076383,2.0970668258619294
participant_10,14.0,15.0,spinner,5000,5.0,0,6124.35081239377,25646.900000095367,25.646900000095368,15000.0,10646.900000095367,85.0,4.0,3.0,0.9519777704740071,0.729613050736307,0.0517226003649949,0.0,0.27173008161961476,1.3244346095312647
participant_10,15.0,20.0,bar-color,2500,2.5,0,6569.818903800411,22855.29999995232,22.85529999995232,7500.0,15355.299999952316,54.0,3.0,4.0,-0.41609624404824164,-0.22800407835509598,1.1378972080298917,0.0,0.5273810163914677,0.8342568686756898
participant_10,16.0,6.0,skeleton-color,5000,5.0,0,7208.151221386428,29240.09999990464,29.24009999990464,15000.0,14240.099999904633,82.0,4.0,2.0,0.8195835110041121,0.729613050736307,-1.034452007299902,0.0,0.8937153438865023,1.9553654944211154
participant_10,17.0,10.0,bar,2500,2.5,0,6625.207386757126,19207.29999995232,19.20729999995232,7500.0,11707.299999952316,48.0,2.0,4.0,-0.6808847629880318,-1.185621207446499,1.1378972080298917,0.0,0.5591680685207595,0.19370363807334473
participant_10,18.0,18.0,spinner-color,5000,5.0,0,5832.273097567709,20200.0,20.2,10000.0,10200.0,67.0,4.0,2.0,0.15761221365463687,0.729613050736307,-1.034452007299902,0.0,0.10410878110058938,0.3680120788763847
participant_10,19.0,4.0,spinner,2500,2.5,0,5699.40791531097,13984.200000047684,13.984200000047684,5000.0,8984.200000047684,57.0,3.0,3.0,-0.2837019845783466,-0.22800407835509598,0.0517226003649949,0.0,0.027858408295410402,-0.7234217946837888
participant_10,20.0,17.0,skeleton,1000,1.0,0,7008.426006817968,12407.100000143051,12.407100000143052,3000.0,9407.100000143051,39.0,2.0,4.0,-1.0780675413977168,-1.185621207446499,1.1378972080298917,0.0,0.7790944792568828,-1.0003451773378103
participant_10,21.0,11.0,bar,1000,1.0,0,4620.2818049819,10735.899999856949,10.735899999856947,2000.0,8735.899999856949,33.0,2.0,4.0,-1.342856060337507,-1.185621207446499,1.1378972080298917,0.0,-0.5914443075763454,-1.293791602547762
participant_11,1.0,7.0,spinner,1000,1.0,0,4847.551075712788,13451.200000047684,13.451200000047685,2000.0,11451.200000047684,27.0,1.0,5.0,-0.8559916189788354,-1.303917637297696,1.5537971908347117,0.0,-0.46101610715506913,-0.8170113977295809
participant_11,2.0,16.0,skeleton-color,2500,2.5,0,4998.080759417048,16802.0,16.802,5000.0,11802.0,45.0,2.0,2.0,-0.19430484602587056,-0.6018081402912443,-0.9561828866675148,0.0,-0.3746282039757666,-0.2286435893217427
participant_11,3.0,21.0,skeleton,2500,2.5,0,5320.107989663996,14464.799999952316,14.464799999952316,5000.0,9464.799999952316,43.0,2.0,4.0,-0.2678255985762,-0.6018081402912443,0.7171371650006362,0.0,-0.18981909189175014,-0.6390331207346662
