participant_id,executionOrder,originalTrialNumber,loaderType,simulatedLoadingTime,simulatedLoadingTime_sec,rageClicks,mouseDistance,taskDuration,taskDuration_sec,totalLoadingTime,pureTaskDuration,perceivedLoadingTime,discomfort,reliability
participant_15,18.0,8.0,bar-color,1000,1.0,0,4593.205320018512,10495.0,10.495,2000.0,8495.0,14.0,1.0,3.0
participant_15,19.0,4.0,spinner,2500,2.5,0,5019.626997865026,15551.300000190737,15.551300000190738,7500.0,8051.300000190735,52.0,2.0,2.0
participant_15,20.0,19.0,spinner-color,1000,1.0,0,4430.394907800676,9670.700000047684,9.670700000047685,2000.0,7670.700000047684,14.0,2.0,4.0
participant_15,21.0,10.0,bar,2500,2.5,0,5226.363699944709,13423.599999904633,13.423599999904633,5000.0,8423.599999904633,36.0,4.0,2.0
participant_16,1.0,12.0,skeleton,5000,5.0,0,5050.8210451603645,24346.200000047684,24.346200000047684,10000.0,14346.200000047684,59.0,2.0,3.0
participant_16,2.0,1.0,bar-color,5000,5.0,0,5029.906336707866,23237.200000047684,23.237200000047682,10000.0,13237.200000047684,62.0,3.0,4.0
participant_16,3.0,13.0,spinner-color,2500,2.5,0,4162.579988863219,16479.200000047684,16.479200000047683,5000.0,11479.200000047684,52.0,3.0,3.0
participant_16,4.0,14.0,skeleton-color,1000,1.0,0,5308.149428643285,18985.5,18.9855,3000.0,15985.5,56.0,3.0,3.0
participant_16,5.0,9.0,none,5000,5.0,0,3934.066606218693,24264.599999904636,24.264599999904636,15000.0,9264.599999904633,81.0,4.0,2.0
participant_16,6.0,10.0,bar,2500,2.5,0,5496.600429028734,21063.599999904636,21.063599999904635,7500.0,13563.599999904633,48.0,2.0,4.0
participant_16,7.0,4.0,spinner,2500,2.5,0,4361.867444035592,21289.0,21.289,7500.0,13789.0,56.0,3.0,3.0
participant_16,8.0,2.0,bar,5000,5.0,0,5504.846246759724,23185.39999985695,23.185399999856948,10000.0,13185.399999856949,55.0,3.0,4.0
participant_16,9.0,6.0,skeleton-color,5000,5.0,0,4298.792897331369,23189.700000047684,23.189700000047683,10000.0,13189.700000047684,60.0,3.0,3.0
participant_16,10.0,20.0,bar-color,2500,2.5,0,4361.030245295209,19815.60000014305,19.81560000014305,7500.0,12315.600000143051,57.0,3.0,3.0
participant_16,11.0,18.0,spinner-color,5000,5.0,0,3449.181135396275,18373.599999904636,18.373599999904638,10000.0,8373.599999904633,57.0,3.0,3.0
participant_16,12.0,3.0,none,1000,1.0,0,4033.86811587168,14992.799999952316,14.992799999952316,3000.0,11992.799999952316,40.0,2.0,3.0
participant_16,13.0,8.0,bar-color,1000,1.0,0,4590.266627116173,16577.599999904633,16.57759999990463,2000.0,14577.599999904633,31.0,2.0,4.0
participant_16,14.0,21.0,skeleton,2500,2.5,0,4297.211221801913,16861.900000095367,16.861900000095368,5000.0,11861.900000095367,42.0,3.0,4.0
participant_16,15.0,19.0,spinner-color,1000,1.0,0,3727.9435909387375,12366.400000095367,12.366400000095368,2000.0,10366.400000095367,35.0,2.0,4.0
participant_16,16.0,17.0,skeleton,1000,1.0,0,3397.7229173520805,12143.0,12.143,2000.0,10143.0,37.0,2.0,4.0
participant_16,17.0,16.0,skeleton-color,2500,2.5,0,3996.875653244225,13461.700000047684,13.461700000047683,5000.0,8461.700000047684,50.0,3.0,3.0
participant_16,18.0,15.0,spinner,5000,5.0,0,4159.358867286031,21934.29999995232,21.93429999995232,10000.0,11934.299999952316,59.0,3.0,3.0
participant_16,19.0,5.0,none,2500,2.5,0,3728.224652450735,17424.099999904633,17.424099999904634,5000.0,12424.099999904633,71.0,4.0,2.0
participant_16,20.0,11.0,bar,1000,1.0,0,5475.213476356552,13622.200000047684,13.622200000047684,2000.0,11622.200000047684,32.0,1.0,4.0
