Contrast,A,B,Paired,Parametric,T,dof,alternative,p_unc,p_corr,p_adjust,BF10,hedges,simulatedLoadingTime_sec
loaderType,none,skeleton,True,True,1.9353085266113654,9.0,two-sided,0.08494627407709911,1.0,holm,1.188,0.9851791203796086,5.0
loaderType,none,skeleton-color,True,True,1.8139082750378077,9.0,two-sided,0.10309430948160181,1.0,holm,1.032,0.7832332469998059,5.0
loaderType,none,spinner,True,True,1.7811618185389095,9.0,two-sided,0.1085768111059696,1.0,holm,0.995,0.8930094110279788,5.0
loaderType,none,spinner-color,True,True,1.6411767105306436,9.0,two-sided,0.1351789477774449,1.0,holm,0.852,0.8094337088428064,5.0
loaderType,skeleton,skeleton-color,True,True,-1.0463514507049279,9.0,two-sided,0.3226859025888348,1.0,holm,0.482,-0.3867039359976944,5.0
loaderType,skeleton,spinner,True,True,-0.5313625162316201,9.0,two-sided,0.6080302581299231,1.0,holm,0.348,-0.17365197607277663,5.0
loaderType,skeleton,spinner-color,True,True,-1.4563177381080994,9.0,two-sided,0.17928704736562,1.0,holm,0.702,-0.2931768422565842,5.0
loaderType,skeleton-color,spinner,True,True,0.5346287694734599,9.0,two-sided,0.6058602184561726,1.0,holm,0.349,0.21917087576845143,5.0
loaderType,skeleton-color,spinner-color,True,True,0.2411123372700616,9.0,two-sided,0.8148713104657304,1.0,holm,0.317,0.08391330254376289,5.0
loaderType,spinner,spinner-color,True,True,-0.47014541412061434,9.0,two-sided,0.6494350743637443,1.0,holm,0.339,-0.1271469226023033,5.0
